Date,Price
11/10/2013,96
11/11/2013,94
11/12/2013,94
11/13/2013,90
11/14/2013,95
11/15/2013,96
11/16/2013,94
11/17/2013,93
11/18/2013,93
11/19/2013,98
11/20/2013,100
11/21/2013,93
11/22/2013,97
11/23/2013,95
11/24/2013,86
11/25/2013,92
11/26/2013,98
11/27/2013,88
11/28/2013,88
11/29/2013,96
11/30/2013,92
12/1/2013,87
12/2/2013,99
12/3/2013,95
12/4/2013,101
12/5/2013,93
12/6/2013,91
12/7/2013,96
12/8/2013,98
12/9/2013,90
12/10/2013,97
12/11/2013,95
12/12/2013,98
12/13/2013,100
12/14/2013,99
12/15/2013,89
12/16/2013,93
12/17/2013,96
12/18/2013,94
12/19/2013,97
12/20/2013,98
12/21/2013,94
12/22/2013,93
12/23/2013,88
12/24/2013,93
12/25/2013,88
12/26/2013,89
12/27/2013,102
12/28/2013,97
12/29/2013,94
12/30/2013,104
12/31/2013,95
1/1/2014,113
1/2/2014,104
1/3/2014,106
1/4/2014,105
1/5/2014,110
1/6/2014,113
1/7/2014,114
1/8/2014,111
1/9/2014,116
1/10/2014,113
1/11/2014,114
1/12/2014,113
1/13/2014,114
1/14/2014,121
1/15/2014,119
1/16/2014,127
1/17/2014,122
1/18/2014,129
1/19/2014,123
1/20/2014,120
1/21/2014,115
1/22/2014,122
1/23/2014,128
1/24/2014,119
1/25/2014,122
1/26/2014,124
1/27/2014,122
1/28/2014,116
1/29/2014,120
1/30/2014,119
1/31/2014,121
2/1/2014,129
2/2/2014,126
2/3/2014,122
2/4/2014,131
2/5/2014,131
2/6/2014,134
2/7/2014,126
2/8/2014,131
2/9/2014,130
2/10/2014,127
2/11/2014,129
2/12/2014,137
2/13/2014,134
2/14/2014,145
2/15/2014,144
2/16/2014,139
2/17/2014,136
2/18/2014,141
2/19/2014,133
2/20/2014,138
2/21/2014,136
2/22/2014,141
2/23/2014,135
2/24/2014,141
2/25/2014,134
2/26/2014,139
2/27/2014,141
2/28/2014,142
3/1/2014,144
3/2/2014,140
3/3/2014,144
3/4/2014,146
3/5/2014,147
3/6/2014,149
3/7/2014,156
3/8/2014,155
3/9/2014,153
3/10/2014,153
3/11/2014,153
3/12/2014,153
3/13/2014,155
3/14/2014,160
3/15/2014,160
3/16/2014,151
3/17/2014,159
3/18/2014,160
3/19/2014,163
3/20/2014,159
3/21/2014,165
3/22/2014,162
3/23/2014,157
3/24/2014,158
3/25/2014,158
3/26/2014,166
3/27/2014,162
3/28/2014,166
3/29/2014,160
3/30/2014,147
3/31/2014,143
4/1/2014,138
4/2/2014,140
4/3/2014,148
4/4/2014,142
4/5/2014,141
4/6/2014,138
4/7/2014,143
4/8/2014,140
4/9/2014,144
4/10/2014,143
4/11/2014,145
4/12/2014,139
4/13/2014,137
4/14/2014,138
4/15/2014,132
4/16/2014,143
4/17/2014,134
4/18/2014,133
4/19/2014,137
4/20/2014,126
4/21/2014,132
4/22/2014,139
4/23/2014,141
4/24/2014,142
4/25/2014,147
4/26/2014,140
4/27/2014,125
4/28/2014,126
4/29/2014,124
4/30/2014,123
5/1/2014,125
5/2/2014,127
5/3/2014,125
5/4/2014,114
5/5/2014,120
5/6/2014,118
5/7/2014,120
5/8/2014,116
5/9/2014,119
5/10/2014,119
5/11/2014,116
5/12/2014,118
5/13/2014,116
5/14/2014,115
5/15/2014,120
5/16/2014,113
5/17/2014,120
5/18/2014,112
5/19/2014,123
5/20/2014,116
5/21/2014,124
5/22/2014,121
5/23/2014,126
5/24/2014,126
5/25/2014,120
5/26/2014,110
5/27/2014,112
5/28/2014,114
5/29/2014,111
5/30/2014,117
5/31/2014,114
6/1/2014,117
6/2/2014,115
6/3/2014,111
6/4/2014,117
